GEO.id2,HD01_VD17,HD01_VD18,HD01_VD41,HD01_VD42
Id2,Male Public,Male Private,Female Public,Female Private
53151,496,208,602,35
53153,65,0,71,0
53154,665,96,695,78
53156,104,9,106,8
53158,422,34,594,46
53167,27,0,0,0
53168,285,17,295,43
53170,100,1,56,5
53172,506,27,464,35
53177,305,31,198,23
53178,52,0,32,4
53179,329,0,256,0
53181,216,0,182,5
53182,237,2,322,37
53183,38,4,69,26
53184,150,0,149,0
53185,585,76,575,56
53186,635,100,531,148
53188,691,99,849,15
53189,774,129,798,119
53190,285,25,288,10
53191,78,6,49,0
53192,0,0,0,0
53195,0,0,7,0
53202,12,0,19,29
53203,20,0,6,0
53204,1131,328,814,249
53205,329,33,426,28
53206,810,74,629,136
53207,454,126,637,83
53208,768,214,677,108
53209,1287,378,1280,339
53210,1035,152,1073,151
53211,400,72,522,80
53212,753,109,746,178
53213,442,194,369,101
53214,622,41,633,37
53215,1757,384,1627,622
53216,926,155,1007,339
53217,653,128,709,124
53218,1593,154,1452,231
53219,653,93,513,47
53220,454,126,339,79
53221,1073,159,875,122
53222,583,97,450,128
53223,628,63,665,67
53224,704,114,684,60
53225,481,167,530,144
53226,354,105,192,38
53227,372,42,412,32
53228,319,39,178,37
53233,92,0,83,7
53235,109,14,112,10
53295,0,0,0,0
53402,781,172,832,149
53403,591,154,678,133
53404,657,33,470,7
53405,448,114,556,140
53406,559,95,611,31
53501,68,0,0,0
53502,65,0,60,6
53503,37,0,45,0
53504,32,0,74,0
53505,10,2,14,2
53506,30,3,15,0
53507,72,0,65,0
53508,115,20,118,23
53510,39,12,30,0
53511,1458,35,1200,43
53515,58,1,29,1
53516,72,4,58,3
53517,36,2,52,2
53518,33,6,46,6
53520,148,4,200,6
53521,115,0,81,0
53522,28,0,5,4
53523,201,4,94,0
53525,131,6,243,8
53526,9,0,18,0
53527,351,5,366,9
53528,149,10,157,7
53529,46,4,24,0
53530,72,8,126,5
53531,132,4,127,4
53532,326,3,454,43
53533,179,4,222,0
53534,281,60,259,39
53536,225,15,185,4
53537,12,0,5,0
53538,493,39,576,22
53540,2,0,6,0
53541,16,3,19,2
53543,34,3,53,3
53544,18,0,12,0
53545,611,16,345,23
53546,799,26,971,61
53548,599,19,762,20
53549,236,28,291,11
53550,24,3,39,0
53551,167,43,188,2
53553,21,0,17,0
53554,23,0,22,0
53555,329,0,271,2
53556,84,0,86,2
53557,4,1,11,0
53558,449,0,238,24
53559,187,5,204,2
53560,70,13,65,10
53561,22,0,25,0
53562,779,22,717,11
53563,318,10,372,12
53565,109,0,143,2
53566,372,4,399,19
53569,51,0,44,0
53570,51,6,70,0
53571,0,0,52,0
53572,433,0,264,2
53573,92,0,48,0
53574,119,11,81,4
53575,442,9,393,29
53576,81,0,72,0
53577,47,1,30,0
53578,201,0,174,0
53579,34,2,54,2
53580,15,0,15,1
53581,201,31,174,43
53582,49,0,50,0
53583,130,0,139,0
53585,62,8,64,7
53586,58,2,51,5
53587,56,0,17,0
53588,109,0,90,10
53589,494,85,232,63
53590,1163,59,1255,44
53593,787,16,705,50
53594,84,0,99,8
53597,724,23,557,17
53598,39,0,108,0
53599,0,0,0,0
53702,0,0,0,0
53703,185,0,71,0
53704,828,74,775,80
53705,264,16,455,49
53706,0,0,0,0
53711,693,156,1013,57
53713,694,9,428,10
53714,278,20,220,17
53715,104,0,52,5
53716,483,0,313,17
53717,273,102,225,20
53718,152,0,123,35
53719,717,67,732,19
53726,75,0,144,0
53792,0,0,0,0
53801,43,0,21,0
53802,0,0,0,0
53803,52,3,40,0
53804,21,0,34,0
53805,104,16,104,4
53806,64,2,57,0
53807,111,1,101,2
53808,31,0,11,0
53809,103,6,128,4
53810,9,0,19,0
53811,56,0,97,0
53813,188,10,124,6
53816,31,0,34,0
53817,1,0,1,0
53818,234,30,253,8
53820,71,2,63,3
53821,281,7,265,10
53825,12,0,12,0
53826,29,4,30,0
53827,9,0,15,0
53901,576,31,371,3
53910,76,0,15,17
53911,40,1,47,0
53913,527,43,485,12
53916,679,20,651,39
53919,61,7,77,5
53920,3,0,14,0
53922,24,3,19,4
