zip code,Total,White,Black/African American,Asian,whiteRatio,balckRatio,asianRatio
53713,23097,12608,3810,1744,0.545871758,0.164956488,0.075507642
53714,16835,13928,1433,543,0.827324027,0.085120285,0.032254232
53715,14246,11075,505,1697,0.777411203,0.035448547,0.119121157
53716,18481,16564,774,350,0.896271847,0.041880851,0.018938369
53717,12512,9491,467,1878,0.75855179,0.037324169,0.150095908
53718,12700,10581,656,754,0.833149606,0.051653543,0.059370079
53719,31705,24333,2544,3224,0.76748147,0.08023971,0.101687431
53726,5869,4817,194,716,0.82075311,0.033055035,0.121996933
53792,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!
53801,903,876,3,16,0.970099668,0.003322259,0.017718715
53802,27,27,0,0,1,0,0
53803,1198,1170,21,0,0.976627713,0.017529215,0
53804,1362,1323,6,5,0.971365639,0.004405286,0.003671072
53805,5156,4746,298,17,0.920480993,0.057796742,0.00329713
53806,1745,1700,0,0,0.974212034,0,0
53807,4781,4703,22,4,0.983685421,0.004601548,0.000836645
53808,1201,1167,23,0,0.971690258,0.019150708,0
53809,4285,4223,0,49,0.985530922,0,0.011435239
53810,380,375,0,5,0.986842105,0,0.013157895
53811,3263,3182,14,6,0.975176218,0.00429053,0.001838799
53813,5809,5645,47,92,0.971767946,0.008090893,0.015837494
53816,829,798,1,14,0.962605549,0.001206273,0.016887817
53817,142,142,0,0,1,0,0
53818,16126,15425,237,177,0.956529828,0.014696763,0.010976063
53820,2386,2365,0,20,0.991198659,0,0.00838223
53821,8287,7860,249,40,0.948473513,0.030047062,0.004826837
53825,577,565,0,7,0.979202773,0,0.012131716
53826,1195,1115,10,0,0.933054393,0.008368201,0
53827,269,266,3,0,0.988847584,0.011152416,0
53901,14627,13450,498,52,0.919532372,0.034046626,0.003555069
53910,3095,2847,61,73,0.919870759,0.019709208,0.02358643
53911,1328,1299,7,12,0.978162651,0.005271084,0.009036145
53913,20319,18768,209,243,0.923667503,0.010285939,0.01195925
53916,22647,21484,180,99,0.94864662,0.007948073,0.00437144
53919,2663,2635,0,4,0.989485543,0,0.001502065
53920,384,380,0,0,0.989583333,0,0
53922,908,879,9,1,0.968061674,0.009911894,0.001101322
53923,2241,2077,34,14,0.926818385,0.015171798,0.006247211
53924,1465,1425,5,5,0.972696246,0.003412969,0.003412969
53925,7916,7600,49,106,0.960080849,0.006189995,0.013390601
53926,1642,1618,5,0,0.985383678,0.003045067,0
53928,122,122,0,0,1,0,0
53929,2581,2486,15,5,0.963192561,0.005811701,0.001937234
53930,1349,1286,5,3,0.95329874,0.003706449,0.00222387
53931,235,232,0,0,0.987234043,0,0
53932,2470,2266,75,7,0.917408907,0.030364372,0.002834008
53933,4482,3499,642,41,0.780678269,0.143239625,0.009147702
53934,4472,4276,41,5,0.956171735,0.009168157,0.001118068
53935,309,309,0,0,1,0,0
53936,2529,1809,391,26,0.715302491,0.154606564,0.010280743
53937,1086,1078,3,0,0.992633517,0.002762431,0
53939,261,254,0,0,0.973180077,0,0
53941,3039,3007,24,0,0.98947022,0.007897335,0
53943,1072,1070,0,0,0.998134328,0,0
53944,2005,1944,11,0,0.96957606,0.005486284,0
53946,4545,4367,7,46,0.960836084,0.001540154,0.010121012
53947,144,139,5,0,0.965277778,0.034722222,0
53948,8101,7842,130,8,0.968028638,0.016047402,0.000987532
53949,5823,5569,52,13,0.956379873,0.008930105,0.002232526
53950,5570,4924,362,60,0.884021544,0.064991023,0.010771993
53951,2338,2186,15,13,0.934987169,0.00641574,0.005560308
53952,3257,3157,37,5,0.969296899,0.011360147,0.001535155
53953,239,239,0,0,1,0,0
53954,6841,6675,9,64,0.975734542,0.001315597,0.009355357
53955,5606,5525,1,19,0.985551195,0.00017838,0.003389226
53956,3314,3196,4,8,0.964393482,0.001207001,0.002414001
53959,13903,13112,12,137,0.943105805,0.000863123,0.009853988
53960,3515,3432,21,0,0.976386913,0.005974395,0
53961,831,820,1,0,0.986762936,0.001203369,0
53963,13918,12499,705,191,0.898045696,0.05065383,0.013723236
53964,3673,3450,25,30,0.939286687,0.006806425,0.00816771
53965,10219,9406,204,14,0.920442313,0.019962814,0.001369997
53968,2292,2238,12,12,0.976439791,0.005235602,0.005235602
53969,363,332,8,0,0.914600551,0.022038567,0
54001,7684,7471,9,36,0.972280062,0.001171265,0.00468506
54002,6441,6247,7,35,0.969880453,0.001086788,0.005433939
54003,896,886,2,0,0.988839286,0.002232143,0
54004,2401,2367,3,2,0.985839234,0.001249479,0.000832986
54005,3076,3025,0,10,0.983420026,0,0.003250975
54006,676,673,0,0,0.99556213,0,0
54007,1208,1163,0,6,0.962748344,0,0.004966887
54009,2535,2415,29,14,0.952662722,0.011439842,0.005522682
54010,34,34,0,0,1,0,0
54011,6663,6533,33,20,0.980489269,0.004952724,0.003001651
54013,3394,3303,0,13,0.973187979,0,0.003830289
54014,2087,2061,0,6,0.987541926,0,0.00287494
54015,3537,3508,8,3,0.991800961,0.002261804,0.000848176
54016,31491,29880,453,517,0.948842526,0.014385062,0.016417389
54017,17229,16683,111,93,0.968309246,0.006442626,0.005397876
54020,6848,6683,17,33,0.975905374,0.002482477,0.004818925
54021,6644,6365,49,165,0.958007225,0.007375075,0.024834437
54022,22898,21912,166,297,0.956939471,0.007249541,0.012970565
54023,4091,3907,41,59,0.955023222,0.010022,0.014421902
54024,4796,4639,18,20,0.967264387,0.003753128,0.004170142
54025,7450,7057,71,150,0.947248322,0.009530201,0.020134228
54026,1925,1884,0,17,0.978701299,0,0.008831169
54027,1001,962,5,0,0.961038961,0.004995005,0
54028,2281,2225,3,4,0.975449364,0.001315213,0.001753617
54082,1458,1442,16,0,0.989026063,0.010973937,0
54101,2666,2628,1,7,0.985746437,0.000375094,0.002625656
54102,796,767,3,1,0.963567839,0.003768844,0.001256281
54103,476,456,0,4,0.957983193,0,0.008403361
54104,1153,1126,0,0,0.976582827,0,0
54106,5479,5357,0,3,0.977733163,0,0.000547545
54107,3641,3566,2,9,0.979401263,0.0005493,0.002471848
54110,5542,5330,28,49,0.961746662,0.005052328,0.008841573
54111,2322,2299,0,0,0.990094746,0,0
54112,2334,2307,0,0,0.988431877,0,0
54113,3533,3465,6,31,0.980752901,0.001698273,0.008774413
54114,5211,5120,0,23,0.982536941,0,0.00441374
54115,45217,40461,411,1347,0.894818321,0.009089502,0.029789681
54119,826,759,0,15,0.918886199,0,0.018159806
54120,231,231,0,0,1,0,0
54121,3122,3110,0,0,0.99615631,0,0
54123,237,232,0,0,0.978902954,0,0
54124,3456,3065,14,3,0.886863426,0.004050926,0.000868056
54125,508,490,3,5,0.964566929,0.005905512,0.00984252
54126,3881,3441,22,0,0.886627158,0.005668642,0
54127,59,59,0,0,1,0,0
54128,1628,1123,3,8,0.68980344,0.001842752,0.004914005
54129,3167,3093,6,17,0.976634039,0.001894537,0.005367856
54130,25589,24670,6,43,0.964086131,0.000234476,0.00168041
54135,3229,380,15,20,0.117683493,0.004645401,0.006193868
54136,6323,6058,42,37,0.958089514,0.006642417,0.005851653
54137,1054,1019,0,4,0.966793169,0,0.003795066
54138,846,808,0,6,0.955082742,0,0.007092199
54139,3167,3102,0,14,0.979475845,0,0.004420587
54140,9534,8921,28,113,0.935703797,0.002936858,0.011852318
54141,2328,2144,58,31,0.920962199,0.024914089,0.013316151
54143,14776,14333,225,81,0.97001895,0.015227396,0.005481862
54149,1275,1234,0,8,0.967843137,0,0.00627451
54150,1247,19,7,0,0.015236568,0.005613472,0
54151,3351,3312,0,2,0.988361683,0,0.000596837
54153,6983,6730,53,6,0.963769154,0.007589861,0.00085923
54154,5595,5328,17,67,0.95227882,0.003038427,0.011974978
54155,6615,4363,36,324,0.659561602,0.005442177,0.048979592
54156,1574,1548,0,0,0.983481576,0,0
54157,5697,5392,25,97,0.946463051,0.004388275,0.017026505
54159,1318,1307,0,0,0.991654021,0,0
54160,299,284,0,2,0.949832776,0,0.006688963
54161,2872,2665,6,9,0.927924791,0.002089136,0.003133705
54162,8950,8815,54,12,0.984916201,0.00603352,0.001340782
54165,7846,7055,26,6,0.899184298,0.00331379,0.000764721
54166,16746,14661,79,88,0.875492655,0.004717544,0.005254986
54169,2791,2772,0,0,0.993192404,0,0
54170,3353,3148,0,0,0.938860722,0,0
54171,3748,3724,7,0,0.993596585,0.001867663,0
54173,4238,4222,16,0,0.996224634,0.003775366,0
54174,2986,2801,0,21,0.938044206,0,0.00703282
