GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No schooling completed,Margin of Error; Total: - No schooling completed,Estimate; Total: - Nursery school,Margin of Error; Total: - Nursery school,Estimate; Total: - Kindergarten,Margin of Error; Total: - Kindergarten,Estimate; Total: - 1st grade,Margin of Error; Total: - 1st grade,Estimate; Total: - 2nd grade,Margin of Error; Total: - 2nd grade,Estimate; Total: - 3rd grade,Margin of Error; Total: - 3rd grade,Estimate; Total: - 4th grade,Margin of Error; Total: - 4th grade,Estimate; Total: - 5th grade,Margin of Error; Total: - 5th grade,Estimate; Total: - 6th grade,Margin of Error; Total: - 6th grade,Estimate; Total: - 7th grade,Margin of Error; Total: - 7th grade,Estimate; Total: - 8th grade,Margin of Error; Total: - 8th grade,Estimate; Total: - 9th grade,Margin of Error; Total: - 9th grade,Estimate; Total: - 10th grade,Margin of Error; Total: - 10th grade,Estimate; Total: - 11th grade,Margin of Error; Total: - 11th grade,"Estimate; Total: - 12th grade, no diploma","Margin of Error; Total: - 12th grade, no diploma",Estimate; Total: - Regular high school diploma,Margin of Error; Total: - Regular high school diploma,Estimate; Total: - GED or alternative credential,Margin of Error; Total: - GED or alternative credential,"Estimate; Total: - Some college, less than 1 year","Margin of Error; Total: - Some college, less than 1 year","Estimate; Total: - Some college, 1 or more years, no degree","Margin of Error; Total: - Some college, 1 or more years, no degree",Estimate; Total: - Associate's degree,Margin of Error; Total: - Associate's degree,Estimate; Total: - Bachelor's degree,Margin of Error; Total: - Bachelor's degree,Estimate; Total: - Master's degree,Margin of Error; Total: - Master's degree,Estimate; Total: - Professional school degree,Margin of Error; Total: - Professional school degree,Estimate; Total: - Doctorate degree,Margin of Error; Total: - Doctorate degree
8600000US53032,53032,ZCTA5 53032,3312,152,8,11,0,9,0,9,1,2,0,9,0,9,0,9,0,9,25,36,0,9,79,55,43,37,23,20,45,44,60,33,1334,141,128,48,242,60,349,90,365,91,441,101,136,55,30,26,3,5
8600000US53033,53033,ZCTA5 53033,3910,239,1,4,4,7,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,29,35,8,12,17,19,29,25,113,58,1084,175,78,47,208,76,544,132,411,94,1013,154,281,90,68,44,22,18
8600000US53034,53034,ZCTA5 53034,1185,102,23,18,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,9,8,3,4,21,18,17,14,6,6,467,64,34,20,91,31,218,56,127,37,129,35,24,12,5,6,8,7
8600000US53035,53035,ZCTA5 53035,1712,114,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,7,32,15,9,9,26,14,22,16,28,15,742,89,54,19,104,44,238,45,161,39,218,47,62,22,4,4,2,3
8600000US53036,53036,ZCTA5 53036,2067,172,10,14,0,9,0,9,0,9,7,10,0,9,0,9,0,9,0,9,0,9,0,9,9,13,0,9,20,22,44,34,512,142,22,20,198,75,339,96,261,74,453,118,147,54,32,37,13,15
8600000US53037,53037,ZCTA5 53037,6690,325,17,26,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,123,110,18,27,39,50,53,41,143,89,1590,307,264,101,564,158,1047,214,817,191,1611,295,366,131,26,31,12,20
8600000US53038,53038,ZCTA5 53038,2906,153,7,9,0,9,0,9,0,9,0,9,0,9,0,9,6,8,13,19,0,9,28,26,19,22,40,38,48,29,46,22,814,110,67,25,252,66,409,82,287,54,622,92,187,55,53,32,8,9
8600000US53039,53039,ZCTA5 53039,3315,143,32,15,0,9,4,8,4,6,0,9,0,9,4,8,0,9,0,9,5,7,73,29,22,28,37,17,90,39,41,20,1234,117,186,62,257,55,465,79,369,61,381,65,86,32,18,13,7,7
8600000US53040,53040,ZCTA5 53040,5546,205,4,6,0,12,0,12,0,12,0,12,8,11,0,12,28,41,47,57,7,8,25,22,10,16,57,29,163,132,62,35,1653,219,194,75,495,95,921,173,700,151,880,152,146,52,131,99,15,15
8600000US53042,53042,ZCTA5 53042,4790,194,5,6,0,12,5,7,0,12,0,12,0,12,0,12,0,12,0,12,3,5,58,27,15,14,36,26,86,49,75,35,1796,215,127,49,350,75,719,104,618,102,633,108,238,59,15,11,11,8
8600000US53044,53044,ZCTA5 53044,1638,132,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,8,3,5,3,4,2,4,225,59,31,22,77,37,168,51,130,38,594,73,317,68,49,23,32,16
8600000US53045,53045,ZCTA5 53045,15425,290,28,28,0,16,0,16,0,16,0,16,0,16,42,52,3,8,14,11,41,50,103,67,19,17,40,31,45,36,51,30,2226,272,133,64,532,99,1492,231,928,157,5559,348,2471,221,1168,209,530,141
8600000US53046,53046,ZCTA5 53046,850,130,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,3,6,11,14,6,7,307,83,29,23,68,34,160,50,102,47,111,31,40,19,3,5,3,5
8600000US53047,53047,ZCTA5 53047,32,20,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,0,9,6,7,0,9,0,9,3,5,11,6,3,5,7,8,0,9,0,9
8600000US53048,53048,ZCTA5 53048,2228,128,14,11,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,0,9,52,33,21,22,89,41,42,24,41,22,750,112,77,33,171,48,390,95,243,57,258,62,70,32,8,8,0,9
8600000US53049,53049,ZCTA5 53049,2040,178,2,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,10,16,10,16,32,25,13,22,12,14,22,21,52,39,636,133,48,34,147,60,225,73,312,79,327,94,152,69,12,8,28,41
8600000US53050,53050,ZCTA5 53050,4847,219,48,46,0,12,0,12,1,2,0,12,0,12,1,2,0,12,0,12,13,18,48,29,77,72,99,60,99,60,152,78,1922,255,114,51,491,141,552,142,528,134,540,126,149,73,6,6,7,7
8600000US53051,53051,ZCTA5 53051,26156,421,96,51,0,18,9,14,0,18,0,18,0,18,38,35,32,38,28,29,15,18,162,81,117,57,128,71,232,87,251,90,6101,434,524,129,1540,217,3519,327,2289,251,7386,386,2779,340,543,129,367,107
8600000US53057,53057,ZCTA5 53057,1209,152,2,4,0,9,0,9,0,9,0,9,0,9,5,6,0,9,0,9,3,4,53,42,11,8,17,17,40,29,22,23,416,67,38,30,72,26,130,43,163,36,145,52,82,72,10,7,0,9
8600000US53058,53058,ZCTA5 53058,2533,205,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,10,0,9,0,9,3,6,0,9,11,9,8,10,455,130,37,27,113,45,380,108,239,84,768,145,382,110,77,37,52,25
8600000US53059,53059,ZCTA5 53059,1405,131,3,4,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,17,11,14,14,9,7,27,14,36,20,548,71,51,26,112,30,201,49,208,59,123,32,41,19,10,8,0,9
8600000US53061,53061,ZCTA5 53061,3696,238,13,20,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,107,63,24,23,87,54,57,43,97,60,1140,156,122,57,293,82,600,158,502,122,514,154,123,68,11,10,6,7
8600000US53063,53063,ZCTA5 53063,1212,107,16,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,14,21,23,14,16,9,6,7,22,24,28,18,425,67,17,13,68,28,180,47,186,60,156,37,47,23,5,6,3,4
8600000US53065,53065,ZCTA5 53065,1676,127,17,13,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,29,13,2,2,5,5,18,13,52,24,644,81,40,18,128,38,154,35,272,66,244,44,42,20,8,7,21,16
8600000US53066,53066,ZCTA5 53066,23789,494,62,42,0,18,0,18,3,5,0,18,0,18,5,10,47,70,33,39,4,8,143,69,53,31,150,63,134,65,256,79,4883,347,605,147,1304,200,3500,291,2224,285,6804,461,2642,274,704,137,233,77
8600000US53069,53069,ZCTA5 53069,597,120,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,30,24,0,9,0,9,88,57,16,26,54,43,58,45,27,31,263,104,24,26,37,43,0,9
8600000US53070,53070,ZCTA5 53070,3378,149,28,28,0,12,0,12,0,12,0,12,0,12,3,5,0,12,0,12,4,7,31,29,9,13,27,21,27,17,65,50,1144,133,100,45,182,56,482,108,340,64,663,123,214,42,41,29,18,13
8600000US53072,53072,ZCTA5 53072,17722,452,23,22,0,16,0,16,0,16,0,16,0,16,0,16,0,16,11,17,1,2,44,39,39,50,47,33,48,32,164,70,3284,351,333,133,936,161,2423,315,1740,204,5762,354,2062,264,587,136,218,84
8600000US53073,53073,ZCTA5 53073,10259,276,38,30,0,14,0,14,0,14,10,23,0,14,13,21,0,14,48,76,3,8,132,59,27,27,144,71,147,76,101,49,3178,286,241,74,736,156,1470,182,1003,164,2105,270,649,132,166,76,48,32
8600000US53074,53074,ZCTA5 53074,9100,314,27,28,0,14,13,20,0,14,0,14,11,17,0,14,0,14,13,20,0,14,48,43,100,57,66,32,87,48,111,51,2309,247,272,93,679,148,1550,240,867,158,2012,275,676,152,191,86,68,42
8600000US53075,53075,ZCTA5 53075,2235,124,22,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,7,12,8,40,27,53,30,52,26,746,88,74,27,223,36,308,57,216,37,352,58,101,34,16,11,11,8
8600000US53076,53076,ZCTA5 53076,2383,273,43,47,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,6,7,8,2,3,6,6,21,19,491,139,33,32,289,125,311,100,331,97,543,121,236,96,59,58,7,11
8600000US53078,53078,ZCTA5 53078,1306,95,14,15,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,16,15,7,11,20,19,4,5,15,13,512,72,21,13,108,31,183,45,176,46,143,30,71,28,12,11,0,9
8600000US53079,53079,ZCTA5 53079,1071,90,0,9,0,9,0,9,0,9,0,9,0,9,11,17,0,9,1,3,0,9,24,18,6,6,12,14,17,12,13,9,455,58,15,10,87,37,120,33,138,40,125,26,43,16,0,9,4,6
8600000US53080,53080,ZCTA5 53080,3955,209,50,43,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,44,37,17,25,27,25,45,36,114,73,1179,192,131,73,323,96,640,134,496,129,636,147,168,71,58,38,27,28
8600000US53081,53081,ZCTA5 53081,28661,494,558,157,0,18,11,17,3,8,0,18,15,23,26,37,38,40,131,79,92,52,287,100,356,154,401,105,656,153,670,167,9564,652,1622,251,2153,321,4043,336,2841,334,3684,409,1287,221,112,53,111,58
8600000US53083,53083,ZCTA5 53083,13857,458,38,28,13,22,0,16,9,14,0,16,0,16,0,16,0,16,0,16,33,50,103,46,54,37,97,51,123,68,98,54,4228,332,509,156,1064,217,1827,280,1517,214,2894,323,989,174,91,46,170,79
8600000US53085,53085,ZCTA5 53085,8126,242,38,31,0,14,2,3,0,14,0,14,0,14,0,14,0,14,0,14,0,14,101,86,55,40,118,40,84,39,130,60,2781,251,278,77,662,140,1082,186,898,137,1341,203,472,147,23,29,61,38
8600000US53086,53086,ZCTA5 53086,5642,276,15,19,0,12,0,12,8,13,0,12,0,12,45,48,0,12,0,12,0,12,69,62,42,39,21,20,90,67,58,60,1426,258,113,70,372,106,932,238,592,189,1378,233,383,112,72,40,26,26
8600000US53088,53088,ZCTA5 53088,293,59,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,2,3,2,3,4,4,148,43,8,6,22,16,40,20,26,12,33,17,6,5,0,9,0,9
8600000US53089,53089,ZCTA5 53089,13254,393,25,29,18,26,5,7,0,14,0,14,0,14,0,14,0,14,0,14,0,14,55,38,27,27,59,40,95,64,181,92,3083,277,296,97,985,202,1798,233,1546,251,3758,350,1133,211,152,70,38,26
8600000US53090,53090,ZCTA5 53090,15399,417,62,44,0,16,0,16,0,16,8,13,8,12,4,6,0,16,17,25,17,21,178,71,52,55,141,54,213,77,226,66,4786,365,711,121,1319,166,2343,280,1832,219,2480,266,888,187,94,44,20,28
8600000US53091,53091,ZCTA5 53091,1372,98,7,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,15,2,3,59,34,21,11,20,12,507,62,58,24,133,29,186,50,214,56,108,27,29,15,7,5,3,4
8600000US53092,53092,ZCTA5 53092,15231,402,86,53,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,17,22,2,5,94,65,32,33,159,163,1808,299,167,77,517,133,1797,269,844,184,5485,462,2669,353,1161,184,393,129
8600000US53093,53093,ZCTA5 53093,1408,137,7,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,4,3,4,16,11,8,8,12,7,425,73,43,17,142,40,246,66,180,52,265,59,46,31,3,4,8,9
8600000US53094,53094,ZCTA5 53094,12694,414,131,87,0,14,19,31,0,14,0,14,0,14,16,21,0,14,32,44,26,24,167,96,51,53,297,142,56,35,199,62,4055,411,817,188,887,198,1646,302,1605,237,1933,290,603,170,77,45,77,85
8600000US53095,53095,ZCTA5 53095,19213,494,67,40,0,16,0,16,0,16,0,16,0,16,16,24,20,25,43,50,15,25,229,100,162,83,141,67,196,97,265,98,5219,488,523,175,1381,223,3023,396,2106,362,4293,446,1063,204,334,107,117,65
8600000US53097,53097,ZCTA5 53097,3645,233,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,21,31,0,12,0,12,0,12,22,21,18,19,49,43,503,104,46,31,118,61,475,111,139,46,1353,204,436,112,324,100,134,60
8600000US53098,53098,ZCTA5 53098,8477,230,66,44,0,14,0,14,3,6,0,14,0,14,15,20,9,15,63,45,0,14,135,56,49,32,124,50,127,57,216,89,3068,310,301,76,699,164,1151,187,972,197,972,132,432,112,64,55,11,9
8600000US53103,53103,ZCTA5 53103,2893,162,38,25,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,6,0,9,3,4,4,7,6,9,16,17,36,26,821,147,23,12,186,58,587,109,425,104,494,133,207,68,13,13,31,24
8600000US53104,53104,ZCTA5 53104,3956,308,28,34,0,12,0,12,0,12,0,12,0,12,0,12,12,21,0,12,0,12,0,12,15,18,46,49,69,70,57,51,1386,308,138,93,281,105,689,248,338,121,543,152,269,128,25,29,60,67
8600000US53105,53105,ZCTA5 53105,20396,657,71,49,0,16,2,5,0,16,0,16,0,16,3,5,0,16,14,20,22,33,139,79,186,93,196,91,428,212,390,135,6593,534,1018,242,1354,245,3105,353,1886,321,3278,412,1343,250,203,91,165,93
8600000US53108,53108,ZCTA5 53108,2495,279,14,22,11,19,0,9,0,9,0,9,0,9,0,9,5,9,0,9,0,9,47,42,45,49,10,14,123,99,42,36,906,196,167,81,90,58,325,106,282,104,234,82,146,88,48,36,0,9
8600000US53110,53110,ZCTA5 53110,13455,383,55,40,0,14,18,36,0,14,0,14,0,14,9,14,0,14,55,39,42,61,83,86,128,86,212,112,381,177,301,125,4100,577,709,199,866,192,2363,345,1273,209,2109,305,536,154,133,83,82,56
8600000US53114,53114,ZCTA5 53114,1950,169,10,13,0,9,0,9,0,9,0,9,9,15,0,9,0,9,42,44,14,13,28,21,32,26,53,34,40,23,18,16,609,95,147,50,166,54,274,56,184,41,178,35,115,35,9,9,22,16
8600000US53115,53115,ZCTA5 53115,11044,378,147,70,0,14,0,14,7,11,9,13,127,98,16,23,61,62,180,101,18,11,197,88,181,88,205,66,206,93,366,131,3099,305,525,129,884,138,1588,207,1147,194,1382,192,599,123,67,34,33,25
8600000US53118,53118,ZCTA5 53118,5319,235,7,15,0,12,0,12,0,12,0,12,0,12,6,12,0,12,32,35,0,12,22,19,27,25,48,33,110,53,71,41,1549,192,204,83,291,92,734,133,406,95,1269,182,407,99,92,55,44,31
