"ZIP","COUNTYNAME"
53535,"Iowa County"
53573,"Iowa County"
53526,"Iowa County"
53515,"Iowa County"
53507,"Iowa County"
53588,"Iowa County"
53543,"Iowa County"
53560,"Iowa County"
54514,"Iron County"
54536,"Iron County"
54534,"Iron County"
54552,"Iron County"
54525,"Iron County"
54550,"Iron County"
54559,"Iron County"
54565,"Iron County"
54547,"Iron County"
54611,"Jackson County"
54466,"Jackson County"
54627,"Jackson County"
54615,"Jackson County"
54659,"Jackson County"
54741,"Jackson County"
54746,"Jackson County"
54644,"Jackson County"
54754,"Jackson County"
54758,"Jackson County"
54642,"Jackson County"
54666,"Jackson County"
54635,"Jackson County"
54616,"Jackson County"
54643,"Jackson County"
53038,"Jefferson County"
53538,"Jefferson County"
53594,"Jefferson County"
53156,"Jefferson County"
53534,"Jefferson County"
53047,"Jefferson County"
53551,"Jefferson County"
53119,"Jefferson County"
53549,"Jefferson County"
53036,"Jefferson County"
53190,"Jefferson County"
53137,"Jefferson County"
53563,"Jefferson County"
53178,"Jefferson County"
53066,"Jefferson County"
53098,"Jefferson County"
53118,"Jefferson County"
53094,"Jefferson County"
53523,"Jefferson County"
53559,"Jefferson County"
54618,"Juneau County"
53965,"Juneau County"
54641,"Juneau County"
54634,"Juneau County"
53941,"Juneau County"
53944,"Juneau County"
53950,"Juneau County"
54666,"Juneau County"
54638,"Juneau County"
54457,"Juneau County"
54637,"Juneau County"
53962,"Juneau County"
53948,"Juneau County"
53968,"Juneau County"
53929,"Juneau County"
54646,"Juneau County"
53104,"Kenosha County"
53143,"Kenosha County"
53179,"Kenosha County"
53105,"Kenosha County"
53403,"Kenosha County"
53101,"Kenosha County"
53158,"Kenosha County"
53168,"Kenosha County"
53140,"Kenosha County"
53144,"Kenosha County"
53128,"Kenosha County"
53192,"Kenosha County"
53177,"Kenosha County"
53102,"Kenosha County"
53139,"Kenosha County"
53159,"Kenosha County"
53194,"Kenosha County"
53170,"Kenosha County"
53109,"Kenosha County"
53182,"Kenosha County"
53142,"Kenosha County"
53181,"Kenosha County"
53152,"Kenosha County"
53141,"Kenosha County"
53171,"Kenosha County"
54205,"Kewaunee County"
54216,"Kewaunee County"
54208,"Kewaunee County"
54217,"Kewaunee County"
54201,"Kewaunee County"
54213,"Kewaunee County"
54636,"La Crosse County"
54650,"La Crosse County"
54602,"La Crosse County"
54623,"La Crosse County"
54601,"La Crosse County"
54669,"La Crosse County"
54644,"La Crosse County"
54653,"La Crosse County"
54619,"La Crosse County"
54642,"La Crosse County"
54656,"La Crosse County"
54614,"La Crosse County"
54658,"La Crosse County"
54603,"La Crosse County"
53516,"Lafayette County"
53530,"Lafayette County"
53599,"Lafayette County"
53803,"Lafayette County"
53818,"Lafayette County"
53811,"Lafayette County"
53541,"Lafayette County"
53510,"Lafayette County"
53504,"Lafayette County"
53586,"Lafayette County"
53565,"Lafayette County"
53587,"Lafayette County"
53807,"Lafayette County"
53522,"Lafayette County"
54409,"Langlade County"
54418,"Langlade County"
54408,"Langlade County"
54430,"Langlade County"
54462,"Langlade County"
54485,"Langlade County"
54414,"Langlade County"
54424,"Langlade County"
54435,"Langlade County"
54491,"Langlade County"
54463,"Langlade County"
54428,"Langlade County"
54465,"Langlade County"
54464,"Langlade County"
54452,"Lincoln County"
54442,"Lincoln County"
54532,"Lincoln County"
54487,"Lincoln County"
54564,"Lincoln County"
54501,"Lincoln County"
54435,"Lincoln County"
53063,"Manitowoc County"
54247,"Manitowoc County"
54227,"Manitowoc County"
54110,"Manitowoc County"
54230,"Manitowoc County"
54245,"Manitowoc County"
54126,"Manitowoc County"
54240,"Manitowoc County"
53042,"Manitowoc County"
54241,"Manitowoc County"
53014,"Manitowoc County"
53020,"Manitowoc County"
54214,"Manitowoc County"
53015,"Manitowoc County"
53061,"Manitowoc County"
54207,"Manitowoc County"
54232,"Manitowoc County"
54220,"Manitowoc County"
54208,"Manitowoc County"
54228,"Manitowoc County"
54215,"Manitowoc County"
54484,"Marathon County"
54402,"Marathon County"
54412,"Marathon County"
54417,"Marathon County"
54425,"Marathon County"
54217,"Marathon County"
54476,"Marathon County"
54401,"Marathon County"
54440,"Marathon County"
54488,"Marathon County"
54429,"Marathon County"
54403,"Marathon County"
54408,"Marathon County"
54474,"Marathon County"
54426,"Marathon County"
54421,"Marathon County"
54499,"Marathon County"
54427,"Marathon County"
54414,"Marathon County"
54480,"Marathon County"
54455,"Marathon County"
54449,"Marathon County"
54443,"Marathon County"
54452,"Marathon County"
54409,"Marathon County"
54479,"Marathon County"
54448,"Marathon County"
54451,"Marathon County"
54411,"Marathon County"
54471,"Marathon County"
54473,"Marathon County"
54405,"Marathon County"
54423,"Marathon County"
54151,"Marinette County"
54125,"Marinette County"
54102,"Marinette County"
54157,"Marinette County"
54103,"Marinette County"
54114,"Marinette County"
54104,"Marinette County"
54119,"Marinette County"
54120,"Marinette County"
54112,"Marinette County"
54153,"Marinette County"
54143,"Marinette County"
54161,"Marinette County"
54159,"Marinette County"
54156,"Marinette County"
54177,"Marinette County"
54982,"Marquette County"
53949,"Marquette County"
54968,"Marquette County"
53946,"Marquette County"
53953,"Marquette County"
53964,"Marquette County"
53920,"Marquette County"
54960,"Marquette County"
53926,"Marquette County"
53901,"Marquette County"
53952,"Marquette County"
53954,"Marquette County"
53930,"Marquette County"
54930,"Marquette County"
54150,"Menominee County"
54174,"Menominee County"
54135,"Menominee County"
54124,"Menominee County"
53214,"Milwaukee County"
53224,"Milwaukee County"
53226,"Milwaukee County"
53130,"Milwaukee County"
53201,"Milwaukee County"
53209,"Milwaukee County"
53278,"Milwaukee County"
53293,"Milwaukee County"
53259,"Milwaukee County"
53216,"Milwaukee County"
53223,"Milwaukee County"
53235,"Milwaukee County"
53206,"Milwaukee County"
53274,"Milwaukee County"
53295,"Milwaukee County"
53222,"Milwaukee County"
53211,"Milwaukee County"
53218,"Milwaukee County"
53202,"Milwaukee County"
53205,"Milwaukee County"
53210,"Milwaukee County"
53207,"Milwaukee County"
53234,"Milwaukee County"
53108,"Milwaukee County"
53213,"Milwaukee County"
53225,"Milwaukee County"
53172,"Milwaukee County"
53203,"Milwaukee County"
53208,"Milwaukee County"
53263,"Milwaukee County"
53220,"Milwaukee County"
53221,"Milwaukee County"
53233,"Milwaukee County"
53228,"Milwaukee County"
53132,"Milwaukee County"
53204,"Milwaukee County"
53129,"Milwaukee County"
53126,"Milwaukee County"
53215,"Milwaukee County"
53212,"Milwaukee County"
53219,"Milwaukee County"
53237,"Milwaukee County"
53007,"Milwaukee County"
53110,"Milwaukee County"
53217,"Milwaukee County"
53227,"Milwaukee County"
53154,"Milwaukee County"
54615,"Monroe County"
54619,"Monroe County"
54653,"Monroe County"
54670,"Monroe County"
54651,"Monroe County"
54638,"Monroe County"
54614,"Monroe County"
54656,"Monroe County"
54662,"Monroe County"
54660,"Monroe County"
54620,"Monroe County"
54649,"Monroe County"
54666,"Monroe County"
53929,"Monroe County"
54618,"Monroe County"
54648,"Monroe County"
54141,"Oconto County"
54149,"Oconto County"
54101,"Oconto County"
54112,"Oconto County"
54153,"Oconto County"
54138,"Oconto County"
54174,"Oconto County"
54137,"Oconto County"
54154,"Oconto County"
54111,"Oconto County"
54162,"Oconto County"
54139,"Oconto County"
54175,"Oconto County"
54171,"Oconto County"
54157,"Oconto County"
54124,"Oconto County"
54491,"Oconto County"
54114,"Oconto County"
54161,"Oconto County"
54521,"Oneida County"
54538,"Oneida County"
54529,"Oneida County"
54539,"Oneida County"
54568,"Oneida County"
54564,"Oneida County"
54501,"Oneida County"
54487,"Oneida County"
54435,"Oneida County"
54463,"Oneida County"
54520,"Oneida County"
54558,"Oneida County"
54543,"Oneida County"
54428,"Oneida County"
54531,"Oneida County"
54548,"Oneida County"
54562,"Oneida County"
54130,"Outagamie County"
54115,"Outagamie County"
54915,"Outagamie County"
54956,"Outagamie County"
54922,"Outagamie County"
54313,"Outagamie County"
54140,"Outagamie County"
54106,"Outagamie County"
54155,"Outagamie County"
54914,"Outagamie County"
54940,"Outagamie County"
54107,"Outagamie County"
54919,"Outagamie County"
54165,"Outagamie County"
54944,"Outagamie County"
