zip code,Total,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Assoc Ratio,Bachelor Ratio,Master Ratio,Prof Degree Ratio,Doctor Ratio
53212,19588,1267,3932,1644,349,235,0.064682459,0.200735144,0.083928936,0.017817031,0.011997141
53213,19232,1161,6979,3058,882,627,0.060368136,0.362884775,0.159005824,0.045861065,0.032601913
53214,25485,2592,4303,1230,191,162,0.101706886,0.168844418,0.048263685,0.007494605,0.00635668
53215,35410,1605,2362,905,127,66,0.045326179,0.066704321,0.025557752,0.003586557,0.00186388
53216,20868,2029,2379,1099,173,51,0.097230209,0.1140023,0.052664366,0.008290205,0.002443933
53217,20595,817,7740,4040,1798,976,0.039669823,0.375819374,0.196164118,0.087302743,0.047390143
53218,23766,1977,2070,832,64,66,0.083186064,0.087099217,0.035007995,0.002692923,0.002777076
53219,25069,2337,4073,1133,129,55,0.093222705,0.162471578,0.045195261,0.005145798,0.002193945
53220,19439,1812,3533,1005,101,85,0.093214672,0.181748032,0.05170019,0.005195741,0.004372653
53221,28350,2093,4222,1539,283,165,0.07382716,0.148924162,0.054285714,0.009982363,0.005820106
53222,18245,1451,4752,1796,223,246,0.079528638,0.260454919,0.098437928,0.012222527,0.013483146
53223,20209,1825,3510,1692,208,149,0.090306299,0.173684992,0.083725073,0.010292444,0.007372953
53224,12755,1221,1931,1046,145,83,0.095727166,0.151391611,0.082007056,0.011368091,0.006507252
53225,16071,1451,2133,783,47,59,0.090286852,0.132723539,0.048721299,0.002924522,0.003671209
53226,13720,1158,4565,2106,657,477,0.084402332,0.332725948,0.153498542,0.047886297,0.034766764
53227,17598,1644,3087,1184,160,96,0.093419707,0.175417661,0.067280373,0.009091942,0.005455165
53228,11289,922,2431,939,188,145,0.081672424,0.215342369,0.083178315,0.016653379,0.012844362
53233,5425,264,763,293,96,92,0.048663594,0.140645161,0.054009217,0.017695853,0.016958525
53235,7256,582,1685,466,90,72,0.080209482,0.23222161,0.064222712,0.012403528,0.009922822
53295,192,24,15,5,0,0,0.125,0.078125,0.026041667,0,0
53402,22842,2331,4125,1753,238,314,0.102048857,0.18058839,0.076744593,0.010419403,0.013746607
53403,16655,1522,2262,809,189,165,0.091383969,0.135815071,0.048574002,0.011347944,0.009906935
53404,8583,685,776,224,0,70,0.079808925,0.090411278,0.026098101,0,0.008155657
53405,16879,1760,2414,875,99,50,0.10427158,0.143017951,0.051839564,0.005865276,0.002962261
53406,18944,1685,3510,1898,250,141,0.088946368,0.185282939,0.100190034,0.013196791,0.00744299
53501,132,0,0,0,0,0,0,0,0,0,0
53502,1661,144,209,71,12,3,0.086694762,0.125827815,0.042745334,0.007224564,0.001806141
53503,1368,142,195,64,8,5,0.10380117,0.14254386,0.046783626,0.005847953,0.003654971
53504,1435,158,146,76,20,4,0.11010453,0.10174216,0.052961672,0.013937282,0.002787456
53505,292,34,46,9,2,9,0.116438356,0.157534247,0.030821918,0.006849315,0.030821918
53506,737,95,61,26,4,4,0.12890095,0.082767978,0.035278155,0.005427408,0.005427408
53507,1536,221,321,108,25,4,0.143880208,0.208984375,0.0703125,0.016276042,0.002604167
53508,3638,469,904,210,53,61,0.128916987,0.24848818,0.057724024,0.014568444,0.016767455
53510,996,130,142,47,5,3,0.130522088,0.142570281,0.047188755,0.00502008,0.003012048
53511,31321,2780,3201,1598,227,278,0.088758341,0.102199802,0.051020082,0.007247534,0.008875834
53515,1617,222,390,118,23,19,0.13729128,0.241187384,0.072974644,0.014223871,0.011750155
53516,1645,200,290,126,12,28,0.121580547,0.176291793,0.076595745,0.007294833,0.017021277
53517,1276,121,313,96,24,34,0.094827586,0.245297806,0.07523511,0.018808777,0.026645768
53518,934,121,111,39,7,2,0.129550321,0.118843683,0.041755889,0.007494647,0.002141328
53520,4709,522,613,181,40,6,0.110851561,0.130176258,0.038437035,0.008494372,0.001274156
53521,2753,382,594,179,48,51,0.138757719,0.21576462,0.065019978,0.017435525,0.018525245
53522,812,77,104,35,3,2,0.094827586,0.128078818,0.043103448,0.003694581,0.002463054
53523,3563,477,800,334,48,52,0.133875947,0.224529891,0.093741229,0.013471793,0.014594443
53525,2637,286,327,141,8,15,0.108456579,0.124004551,0.053469852,0.00303375,0.005688282
